outcome,modality,estimate_prodicaine,SE_prodicaine,t_prodicaine,DF_prodicaine,p_prodicaine,lower_prodicaine,upper_prodicaine,estimate_stimLvl,SE_stimLvl,t_stimLvl,DF_stimLvl,p_stimLvl,lower_stimLvl,upper_stimLvl,estimate_int,SE_int,t_int,DF_int,p_int,lower_int,upper_int,direction_prodicaine,significance_prodicaine,direction_stimLvl,significance_stimLvl,significance_int
canlab2018_mean_Ctx_8C_L,thermal,0.105,0.036,2.952,408.77,0.0033,0.0352,0.1756,-0.008,0.041,-0.202,594.64,0.8403,-0.0887,0.0722,0.043,0.077,0.555,1359,0.5792,-0.1085,0.1941,+,**,-,n.s.,n.s.
canlab2018_mean_Ctx_a47r_R,thermal,0.076,0.034,2.263,362.26,0.0242,0.01,0.1421,-0.027,0.041,-0.667,616.04,0.505,-0.1069,0.0527,0.112,0.077,1.45,1352.96,0.1473,-0.0394,0.2629,+,*,-,n.s.,n.s.
canlab2018_mean_Ctx_p9_46v_R,thermal,0.083,0.035,2.37,473.72,0.0182,0.0141,0.1513,-0.001,0.042,-0.035,553.62,0.9724,-0.0836,0.0807,0.062,0.076,0.826,1357.86,0.4091,-0.0859,0.2107,+,*,-,n.s.,n.s.
canlab2018_mean_Ctx_46_L,thermal,0.032,0.039,0.821,229.16,0.4127,-0.0443,0.1075,0.077,0.042,1.846,758.5,0.0653,-0.0049,0.1591,0.086,0.078,1.112,1358.99,0.2664,-0.0661,0.2389,+,n.s.,+,n.s.,n.s.
canlab2018_mean_Ctx_a10p_R,thermal,0.072,0.037,1.94,246.48,0.0535,-0.0011,0.1452,-0.052,0.04,-1.3,539.2,0.194,-0.1305,0.0265,0.039,0.077,0.503,1354.81,0.6148,-0.1128,0.1908,+,n.s.,-,n.s.,n.s.
canlab2018_mean_Ctx_11l_L,thermal,0.062,0.039,1.582,321.27,0.1146,-0.0152,0.1399,-0.02,0.04,-0.491,1132.81,0.6234,-0.0976,0.0585,0.018,0.079,0.226,1554.62,0.8211,-0.1363,0.1718,+,n.s.,-,n.s.,n.s.
canlab2018_mean_Ctx_11l_R,thermal,0.069,0.039,1.789,360.58,0.0745,-0.0069,0.1447,-0.003,0.041,-0.065,647.48,0.9481,-0.0826,0.0773,-0.005,0.078,-0.066,1358.96,0.9477,-0.158,0.1477,+,n.s.,-,n.s.,n.s.
canlab2018_mean_Ctx_p10p_R,thermal,0.081,0.038,2.144,373.34,0.0327,0.0067,0.1548,-0.002,0.043,-0.049,689.12,0.9609,-0.0856,0.0814,0.002,0.08,0.027,1356.68,0.9783,-0.1551,0.1594,+,*,-,n.s.,n.s.
canlab2018_mean_V_Striatum_L,thermal,0.001,0.04,0.016,280.25,0.9872,-0.078,0.0793,-0.011,0.042,-0.273,1370.7,0.7849,-0.0935,0.0707,0.02,0.083,0.238,1561.84,0.8115,-0.1432,0.1828,+,n.s.,-,n.s.,n.s.
canlab2018_mean_V_Striatum_R,thermal,0.014,0.038,0.37,376.48,0.7116,-0.0612,0.0895,0.074,0.04,1.853,660.88,0.0644,-0.0044,0.1524,-0.085,0.078,-1.089,1358.4,0.2766,-0.2369,0.0678,+,n.s.,+,n.s.,n.s.
canlab2018_mean_Bstem_PAG,thermal,0.01,0.042,0.242,213.85,0.8089,-0.0732,0.0937,0.102,0.044,2.325,1296.58,0.0202,0.016,0.1886,-0.043,0.087,-0.494,1661.86,0.6214,-0.2137,0.1277,+,n.s.,+,*,n.s.
Yint,mechanical,-0.244,0.039,-6.241,345.07,0,-0.3212,-0.1672,0.202,0.032,6.393,121.69,0,0.1392,0.264,0.013,0.038,0.33,1089.25,0.7414,-0.0621,0.0872,-,***,+,***,n.s.
Yunp,mechanical,-0.223,0.039,-5.773,363.53,0,-0.2984,-0.1468,0.214,0.033,6.567,151.37,0,0.1494,0.278,0.013,0.038,0.353,1178.33,0.7243,-0.0606,0.0872,-,***,+,***,n.s.
gray_matter,mechanical,0.135,0.037,3.626,446.17,0.0003,0.062,0.2087,0.101,0.041,2.471,517.64,0.0138,0.0207,0.1814,0.09,0.078,1.151,1348.71,0.2498,-0.0635,0.2438,+,***,+,*,n.s.
white_matter,mechanical,0.12,0.037,3.253,402.46,0.0012,0.0476,0.1932,0.097,0.041,2.386,801.9,0.0172,0.0172,0.177,0.138,0.078,1.771,1549.57,0.0767,-0.0148,0.2902,+,**,+,*,n.s.
csf,mechanical,0.063,0.038,1.671,271.21,0.0958,-0.0113,0.1383,0.141,0.044,3.177,218.46,0.0017,0.0534,0.2279,0.05,0.078,0.64,1334.22,0.5223,-0.1026,0.202,+,n.s.,+,**,n.s.
nps,mechanical,0.008,0.037,0.226,308.68,0.8216,-0.0643,0.0809,0.164,0.041,4.016,804.08,0.0001,0.0837,0.2436,0.132,0.079,1.672,1528.99,0.0947,-0.0228,0.2868,+,n.s.,+,***,n.s.
siips,mechanical,-0.112,0.037,-3.003,286.06,0.0029,-0.1848,-0.0385,0.188,0.039,4.753,232.96,0,0.1098,0.2654,0.09,0.071,1.268,1274.24,0.2049,-0.0492,0.2292,-,**,+,***,n.s.
siipspos_dmPFC,mechanical,0.078,0.041,1.909,230.88,0.0575,-0.0025,0.158,0.089,0.041,2.185,1194.32,0.0291,0.009,0.168,0.004,0.08,0.051,1533.23,0.9593,-0.1535,0.1617,+,n.s.,+,*,n.s.
siipspos_R_MTG,mechanical,0.065,0.039,1.659,325.19,0.0981,-0.0121,0.1423,-0.046,0.044,-1.056,1389.87,0.2911,-0.1321,0.0396,0.059,0.087,0.68,1545.78,0.4968,-0.1114,0.2295,+,n.s.,-,n.s.,n.s.
siipsneg_R_LG,mechanical,-0.165,0.037,-4.468,422.25,0,-0.2377,-0.0925,-0.051,0.041,-1.245,664.65,0.2137,-0.1306,0.0293,-0.054,0.081,-0.663,1349.86,0.5073,-0.212,0.1049,-,***,-,n.s.,n.s.
siipsneg_L_STG,mechanical,-0.161,0.035,-4.559,749.24,0,-0.2307,-0.0918,-0.031,0.042,-0.751,1213.8,0.4531,-0.1129,0.0504,-0.078,0.082,-0.952,1734.43,0.3412,-0.2386,0.0827,-,***,-,n.s.,n.s.
siipsneg_L_NAc,mechanical,-0.111,0.039,-2.846,466.64,0.0046,-0.1873,-0.0343,-0.089,0.046,-1.95,806.9,0.0515,-0.1793,0.0006,-0.004,0.09,-0.044,1531.96,0.9648,-0.1815,0.1735,-,**,-,n.s.,n.s.
siipsneg_R_TP,mechanical,-0.104,0.042,-2.475,226.48,0.0141,-0.1859,-0.0211,-0.061,0.048,-1.274,341.94,0.2034,-0.1544,0.033,0.027,0.09,0.297,1516.18,0.7663,-0.1499,0.2034,-,*,-,n.s.,n.s.
siipsneg_L_ITG,mechanical,-0.026,0.04,-0.659,214.92,0.5108,-0.1046,0.0522,0.009,0.045,0.195,1572.11,0.8456,-0.0789,0.0963,-0.017,0.089,-0.188,1665.4,0.8512,-0.1916,0.1581,-,n.s.,+,n.s.,n.s.
siipsneg_mid_precen,mechanical,-0.156,0.036,-4.3,386.6,0,-0.2279,-0.0849,0.016,0.04,0.401,516.6,0.6883,-0.0633,0.0957,-0.106,0.078,-1.345,1348.57,0.1788,-0.2596,0.0484,-,***,+,n.s.,n.s.
siipsneg_vmpfc,mechanical,-0.164,0.041,-4.055,391.44,0.0001,-0.2442,-0.0847,-0.1,0.044,-2.253,1246.39,0.0244,-0.1863,-0.0129,-0.032,0.088,-0.363,1550.09,0.7169,-0.2048,0.1409,-,***,-,*,n.s.
suppress_siipsneg_R_NAc,mechanical,-0.114,0.038,-3.007,391.47,0.0028,-0.189,-0.0395,-0.081,0.044,-1.828,1411.62,0.0678,-0.1686,0.006,0.099,0.088,1.118,1550.2,0.2637,-0.0745,0.2722,-,**,-,n.s.,n.s.
suppress_siipsneg_L_dlPFC,mechanical,-0.039,0.037,-1.056,374.5,0.2915,-0.1118,0.0337,-0.037,0.041,-0.914,1380.23,0.361,-0.1166,0.0425,-0.043,0.081,-0.534,1548.58,0.5935,-0.2013,0.1151,-,n.s.,-,n.s.,n.s.
suppress_siipsneg_R_dlPFC,mechanical,0.051,0.036,1.403,385.59,0.1615,-0.0204,0.1218,-0.029,0.04,-0.732,573.55,0.4648,-0.1078,0.0493,-0.063,0.077,-0.817,1351.07,0.414,-0.2152,0.0887,+,n.s.,-,n.s.,n.s.
suppress_siipsneg_R_S2,mechanical,-0.029,0.038,-0.77,273.23,0.4421,-0.1036,0.0454,-0.128,0.04,-3.212,351.8,0.0014,-0.2057,-0.0495,-0.117,0.075,-1.556,1311.51,0.1199,-0.2639,0.0304,-,n.s.,-,**,n.s.
suppress_siipsneg_R_SMC,mechanical,0.051,0.039,1.319,240.13,0.1883,-0.0254,0.1282,-0.025,0.041,-0.603,569.3,0.547,-0.1045,0.0554,-0.1,0.079,-1.276,1520.32,0.2022,-0.2545,0.0539,+,n.s.,-,n.s.,n.s.
suppress_siipsneg_L_Precun,mechanical,-0.151,0.038,-4.002,224.55,0.0001,-0.2256,-0.0767,-0.007,0.042,-0.168,432.52,0.867,-0.0897,0.0756,-0.119,0.079,-1.497,1439.61,0.1345,-0.2748,0.0369,-,***,-,n.s.,n.s.
pain_pathways_Thal_VPLM_R,mechanical,0.108,0.037,2.93,389.4,0.0036,0.0355,0.1804,0.038,0.041,0.936,1076.25,0.3496,-0.0419,0.1184,0.139,0.081,1.72,1530.84,0.0857,-0.0195,0.2969,+,**,+,n.s.,n.s.
pain_pathways_Thal_VPLM_L,mechanical,0.153,0.036,4.202,329.31,0,0.0815,0.225,0.019,0.041,0.472,341.67,0.6371,-0.0616,0.1005,0.04,0.078,0.511,1156.48,0.6097,-0.1129,0.1923,+,***,+,n.s.,n.s.
pain_pathways_Thal_MD,mechanical,0.142,0.037,3.813,472.29,0.0002,0.0687,0.2149,0.077,0.041,1.897,497.98,0.0584,-0.0028,0.1577,0.005,0.08,0.057,1488.44,0.9545,-0.1522,0.1613,+,***,+,n.s.,n.s.
pain_pathways_dpIns_L,mechanical,0.143,0.035,4.112,498.78,0,0.0748,0.2116,0.067,0.041,1.659,750.92,0.0976,-0.0124,0.1469,0.12,0.079,1.515,1548.46,0.13,-0.0353,0.2752,+,***,+,n.s.,n.s.
pain_pathways_dpIns_R,mechanical,0.136,0.036,3.779,381.2,0.0002,0.0652,0.2066,0.125,0.039,3.177,871.8,0.0015,0.0479,0.2026,0.087,0.078,1.114,1543.72,0.2656,-0.0659,0.2389,+,***,+,**,n.s.
pain_pathways_aMCC_MPFC,mechanical,0.095,0.038,2.525,398.17,0.012,0.021,0.1685,0.128,0.04,3.178,461.9,0.0016,0.049,0.2075,0.076,0.079,0.962,1324.04,0.3361,-0.079,0.231,+,*,+,**,n.s.
canlab2018_mean_Ctx_8C_L,mechanical,0.114,0.037,3.052,394.98,0.0024,0.0404,0.1868,0.017,0.042,0.4,1242.46,0.6893,-0.0649,0.0982,0.012,0.082,0.146,1545.71,0.8838,-0.1493,0.1734,+,**,+,n.s.,n.s.
canlab2018_mean_Ctx_a47r_R,mechanical,0.014,0.038,0.362,500.52,0.7173,-0.0602,0.0875,-0.04,0.042,-0.945,929.84,0.3448,-0.1218,0.0426,0.073,0.083,0.885,1701.42,0.3761,-0.0891,0.2357,+,n.s.,-,n.s.,n.s.
canlab2018_mean_Ctx_p9_46v_R,mechanical,0.049,0.039,1.266,260.83,0.2065,-0.0271,0.1248,-0.019,0.043,-0.443,462.44,0.6576,-0.103,0.0651,0.055,0.082,0.666,1450.54,0.5058,-0.1064,0.2156,+,n.s.,-,n.s.,n.s.
canlab2018_mean_Ctx_46_L,mechanical,0.068,0.038,1.772,321.45,0.0774,-0.0075,0.1436,0.088,0.041,2.162,487.32,0.0311,0.0081,0.1686,0.064,0.08,0.805,1336.52,0.4207,-0.0926,0.2215,+,n.s.,+,*,n.s.
canlab2018_mean_Ctx_a10p_R,mechanical,0.024,0.038,0.623,405.46,0.5337,-0.051,0.0983,-0.018,0.043,-0.421,1246.77,0.6735,-0.1031,0.0666,-0.018,0.086,-0.212,1544.46,0.8321,-0.1864,0.15,+,n.s.,-,n.s.,n.s.
canlab2018_mean_Ctx_11l_L,mechanical,0.044,0.037,1.18,748.74,0.2382,-0.0293,0.1176,0.02,0.046,0.447,628.66,0.6548,-0.0693,0.1102,0.163,0.088,1.841,1545.28,0.0658,-0.0107,0.3363,+,n.s.,+,n.s.,n.s.
canlab2018_mean_Ctx_11l_R,mechanical,0.048,0.037,1.28,765.33,0.2009,-0.0255,0.1209,0.045,0.044,1.031,583.32,0.3028,-0.041,0.1318,0.101,0.087,1.168,1547.28,0.2428,-0.0688,0.2715,+,n.s.,+,n.s.,n.s.
canlab2018_mean_Ctx_p10p_R,mechanical,0.106,0.041,2.599,224.17,0.01,0.0257,0.1869,0.039,0.043,0.912,657.18,0.3623,-0.045,0.123,0.075,0.082,0.909,1462.63,0.3634,-0.0868,0.2368,+,*,+,n.s.,n.s.
canlab2018_mean_V_Striatum_L,mechanical,0.156,0.039,4.023,434.33,0.0001,0.0799,0.2327,0.123,0.043,2.841,1211.66,0.0046,0.038,0.2076,-0.077,0.085,-0.905,1554.22,0.3656,-0.2433,0.0897,+,***,+,**,n.s.
canlab2018_mean_V_Striatum_R,mechanical,0.178,0.037,4.778,370.15,0,0.1045,0.2507,0.071,0.042,1.667,647.6,0.096,-0.0126,0.1539,-0.144,0.084,-1.713,1360.63,0.0869,-0.3087,0.0209,+,***,+,n.s.,n.s.
canlab2018_mean_Bstem_PAG,mechanical,-0.001,0.042,-0.015,231.54,0.9879,-0.0831,0.0818,0.157,0.044,3.564,369.1,0.0004,0.0703,0.2435,0.069,0.086,0.799,1497.45,0.4242,-0.1004,0.2385,-,n.s.,+,***,n.s.
